promotion_id,promotion_name,promotion_type,discount_percentage,start_date,end_date
27,Winter EOSS 2025,Festival,43.43,2025-12-20,2026-01-01
28,New Year Sale 2026,Festival,13.0,2026-01-01,2026-01-08
29,Republic Day Sale 2026,Festival,19.74,2026-01-26,2026-01-31
30,Holi Splash Offer 2026,Festival,21.28,2026-03-15,2026-03-21
31,Summer EOSS 2026,Festival,31.45,2026-06-15,2026-06-29
32,Independence Day Sale 2026,Festival,24.17,2026-08-15,2026-08-20
33,Rakhi Special 2026,Festival,19.98,2026-08-25,2026-08-29
34,Category Special Jul2023,Clearance,22.71,2023-07-24,2023-07-28
35,Flash Sale Sep2023,Clearance,17.93,2023-09-29,2023-10-07
36,Category Special Nov2023,Welcome Offer,26.41,2023-11-20,2023-11-30
37,Category Special Sep2026,Welcome Offer,37.61,2026-09-01,2026-09-04
38,Welcome Offer Aug2023,Flash Sale,36.14,2023-08-01,2023-08-06
39,Welcome Offer Feb2026,Welcome Offer,26.17,2026-02-07,2026-02-12
40,Welcome Offer Dec2024,Category Special,22.1,2024-12-03,2024-12-09
41,Weekend Deal Apr2023,Welcome Offer,6.54,2023-04-15,2023-04-19
42,Welcome Offer Nov2024,Clearance,30.94,2024-11-14,2024-11-19
43,Category Special Feb2026,Flash Sale,8.92,2026-02-03,2026-02-12
44,Welcome Offer Nov2023,Category Special,24.34,2023-11-02,2023-11-05
45,Flash Sale May2025,Welcome Offer,17.76,2025-05-30,2025-06-04
46,Clearance Mar2023,Clearance,28.34,2023-03-23,2023-03-31
47,Category Special Dec2024,Clearance,37.4,2024-12-25,2025-01-03
48,Clearance Apr2024,Weekend Deal,5.87,2024-04-29,2024-05-04
49,Clearance Nov2024,Welcome Offer,10.57,2024-11-11,2024-11-20
50,Flash Sale Aug2023,Weekend Deal,12.79,2023-08-10,2023-08-19
51,Welcome Offer Jul2025,Clearance,12.8,2025-07-31,2025-08-08
52,Welcome Offer Jan2024,Welcome Offer,35.25,2024-01-31,2024-02-09
53,Category Special Jul2024,Weekend Deal,28.78,2024-07-25,2024-08-02
54,Flash Sale Jan2026,Flash Sale,35.7,2026-01-03,2026-01-11
55,Category Special Jun2024,Welcome Offer,6.34,2024-06-18,2024-06-23
56,Welcome Offer May2026,Welcome Offer,20.27,2026-05-06,2026-05-15
57,Weekend Deal Nov2025,Category Special,11.65,2025-11-13,2025-11-17
58,Flash Sale Apr2023,Category Special,37.4,2023-04-01,2023-04-10
59,Welcome Offer Jan2026,Weekend Deal,7.45,2026-01-07,2026-01-13
60,Flash Sale Nov2024,Welcome Offer,22.75,2024-11-07,2024-11-15
61,Weekend Deal Apr2025,Welcome Offer,24.4,2025-04-16,2025-04-24
62,Weekend Deal Jan2024,Clearance,26.54,2024-01-28,2024-02-06
63,Category Special Sep2024,Flash Sale,15.64,2024-09-08,2024-09-17
64,Category Special Mar2024,Category Special,27.91,2024-03-06,2024-03-15
65,Weekend Deal Aug2025,Clearance,22.89,2025-08-10,2025-08-20
66,Welcome Offer Dec2023,Category Special,28.23,2023-12-14,2023-12-18
67,Flash Sale Jun2026,Clearance,28.55,2026-06-22,2026-06-30
68,Clearance Apr2024,Flash Sale,6.62,2024-04-05,2024-04-11
69,Weekend Deal Aug2025,Weekend Deal,36.01,2025-08-31,2025-09-04
70,Weekend Deal Mar2026,Weekend Deal,18.99,2026-03-24,2026-03-30
71,Flash Sale Oct2023,Weekend Deal,12.66,2023-10-30,2023-11-02
72,Flash Sale Nov2025,Category Special,13.72,2025-11-26,2025-12-06
73,Clearance Sep2023,Weekend Deal,28.37,2023-09-06,2023-09-16
74,Weekend Deal Feb2026,Category Special,33.53,2026-02-18,2026-02-26
75,Category Special Oct2025,Weekend Deal,36.4,2025-10-30,2025-11-08
76,Welcome Offer Aug2025,Clearance,34.4,2025-08-30,2025-09-09
77,Clearance Jul2024,Welcome Offer,20.4,2024-07-21,2024-07-31
78,Welcome Offer Aug2024,Welcome Offer,16.19,2024-08-08,2024-08-14
79,Clearance Jan2026,Clearance,13.09,2026-01-11,2026-01-15
80,Flash Sale Nov2023,Weekend Deal,19.27,2023-11-09,2023-11-15
81,Weekend Deal Jan2026,Flash Sale,12.24,2026-01-16,2026-01-26
82,Category Special May2025,Flash Sale,34.99,2025-05-10,2025-05-19
83,Weekend Deal Mar2026,Flash Sale,38.0,2026-03-25,2026-04-03
84,Weekend Deal Sep2024,Category Special,31.16,2024-09-03,2024-09-12
85,Weekend Deal Jan2026,Clearance,14.55,2026-01-23,2026-01-29
86,Weekend Deal Sep2025,Welcome Offer,28.41,2025-09-21,2025-09-24
87,Weekend Deal Apr2025,Clearance,39.33,2025-04-08,2025-04-13
88,Weekend Deal Dec2025,Category Special,24.75,2025-12-29,2026-01-01
89,Weekend Deal Feb2023,Clearance,35.34,2023-02-25,2023-03-01
90,Welcome Offer Jan2024,Weekend Deal,16.46,2024-01-08,2024-01-11
91,Welcome Offer Jul2025,Weekend Deal,14.74,2025-07-20,2025-07-28
92,Flash Sale May2025,Weekend Deal,5.68,2025-05-13,2025-05-20
93,Welcome Offer Jan2026,Clearance,27.76,2026-01-09,2026-01-12
94,Flash Sale Aug2026,Clearance,11.98,2026-08-27,2026-08-30
95,Clearance Feb2023,Clearance,21.57,2023-02-11,2023-02-16
96,Weekend Deal Aug2023,Welcome Offer,31.84,2023-08-23,2023-08-29
97,Clearance Dec2023,Welcome Offer,8.78,2023-12-10,2023-12-14
98,Category Special Feb2023,Weekend Deal,18.88,2023-02-22,2023-03-01
99,Category Special Feb2024,Clearance,8.57,2024-02-11,2024-02-15
100,Category Special Sep2024,Flash Sale,17.15,2024-09-09,2024-09-13
