review_id,order_details_id,rating,review_text,review_date
195,40627,5,"Loved it, fits perfectly.",2025-03-17
196,24797,5,Good value for money.,2026-03-21
197,70325,4,"Exactly as described, will buy again.",2026-01-09
198,45943,4,"Loved it, fits perfectly.",2026-04-30
199,94224,5,"Exactly as described, will buy again.",2024-12-18
200,43514,5,"Really happy with this purchase, great quality!",2025-03-28
201,75608,0,Good value for money.,2024-12-27
202,83866,4,"Loved it, fits perfectly.",2026-05-16
203,66255,5,"Really happy with this purchase, great quality!",2023-02-26
204,78593,6,Not satisfied with the quality.,2024-11-30
205,20429,5,"Exactly as described, will buy again.",2026-08-21
206,12496,3,Decent product for the price.,2026-06-01
207,46589,4,Good value for money.,2026-05-12
208,25914,5,"Really happy with this purchase, great quality!",2025-07-09
209,67673,2,"Disappointed, expected better.",2025-05-12
210,66907,4,Good value for money.,2026-06-11
211,67446,5,"Really happy with this purchase, great quality!",2025-12-04
212,68248,2,Product did not match the description.,2026-04-04
213,93828,4,"Exactly as described, will buy again.",2025-03-23
214,5744,3,"Average quality, does the job.",2025-10-21
215,27189,5,Good value for money.,2026-06-19
216,24179,5,"Loved it, fits perfectly.",2025-10-11
217,56967,3,"It's okay, expected a bit better.",2026-08-05
218,48435,5,"Loved it, fits perfectly.",2026-02-03
219,77976,5,"Really happy with this purchase, great quality!",2024-09-06
220,28510,4,"Loved it, fits perfectly.",2025-08-21
221,92394,3,Decent product for the price.,2026-02-05
222,10600,3,Decent product for the price.,2026-06-25
223,16425,4,Good value for money.,2025-11-02
224,55466,5,"Really happy with this purchase, great quality!",2024-03-22
225,84,4,Good value for money.,2025-12-07
226,25901,3,Decent product for the price.,2024-11-28
227,61270,4,"Loved it, fits perfectly.",2024-12-12
228,38957,5,"Loved it, fits perfectly.",2026-07-19
229,13454,5,"Loved it, fits perfectly.",2026-07-11
230,46627,2,"Disappointed, expected better.",2025-07-27
231,85957,4,Good value for money.,2026-05-08
232,72139,5,"Exactly as described, will buy again.",2026-01-23
233,62477,2,Not satisfied with the quality.,2025-11-25
234,81465,3,,2026-02-19
235,38444,3,Decent product for the price.,2026-05-04
236,49726,5,"Loved it, fits perfectly.",2026-09-06
237,34174,3,Decent product for the price.,2026-07-22
238,89540,5,"Really happy with this purchase, great quality!",2026-04-23
239,65015,5,"Really happy with this purchase, great quality!",2026-04-21
240,39155,2,Not satisfied with the quality.,2026-05-12
241,64460,4,"Loved it, fits perfectly.",2026-01-12
242,19719,4,Good value for money.,2026-09-03
243,2470,3,"It's okay, expected a bit better.",2024-01-10
244,86604,1,Product did not match the description.,2025-10-14
245,70814,4,"Nice product, fast delivery too.",2026-09-01
246,26429,4,"Exactly as described, will buy again.",2026-06-25
247,91475,3,Decent product for the price.,2026-09-09
248,17214,5,"Loved it, fits perfectly.",2025-10-17
249,40501,3,Decent product for the price.,2026-03-27
250,14866,2,Not satisfied with the quality.,2025-06-26
251,52915,4,,2026-07-21
252,51242,5,"Nice product, fast delivery too.",2026-04-24
253,3495,5,"Really happy with this purchase, great quality!",2026-08-28
254,44485,5,"Exactly as described, will buy again.",2024-10-20
255,26841,3,Decent product for the price.,2025-04-01
256,72647,5,"Really happy with this purchase, great quality!",2025-11-28
257,62127,3,"Average quality, does the job.",2025-12-22
258,39726,3,Decent product for the price.,2026-05-16
259,97553,4,,2026-08-26
260,24267,3,"Average quality, does the job.",2025-08-25
261,34185,3,"Average quality, does the job.",2026-07-07
262,90583,4,"Loved it, fits perfectly.",2026-04-14
263,59869,5,"Really happy with this purchase, great quality!",2026-08-27
264,66149,2,"Disappointed, expected better.",2026-05-27
265,27991,1,"Disappointed, expected better.",2026-02-21
266,94273,2,Product did not match the description.,2025-01-30
267,67178,1,"Disappointed, expected better.",2024-05-15
268,8509,3,Decent product for the price.,2025-05-21
269,6196,2,"Disappointed, expected better.",2024-09-10
270,12770,4,"Really happy with this purchase, great quality!",2026-02-18
271,41456,5,"Exactly as described, will buy again.",2024-04-04
272,81939,2,"Disappointed, expected better.",2026-09-03
273,13149,2,Product did not match the description.,2025-11-26
274,47737,5,"Nice product, fast delivery too.",2025-08-30
275,75763,3,"It's okay, expected a bit better.",2026-08-28
276,43525,1,Not satisfied with the quality.,2025-09-25
277,5355,4,,2024-06-19
278,3508,5,,2025-11-18
279,62926,5,"Really happy with this purchase, great quality!",2026-08-31
280,77875,4,"Nice product, fast delivery too.",2026-02-12
281,29071,4,"Loved it, fits perfectly.",2026-04-06
282,57248,5,"Loved it, fits perfectly.",2025-05-29
283,45629,5,Good value for money.,2025-04-13
284,83130,4,,2026-03-27
285,37924,0,"Nice product, fast delivery too.",2026-05-05
286,79844,4,"Nice product, fast delivery too.",2026-02-14
287,96059,2,Product did not match the description.,2026-05-17
288,37319,1,Not satisfied with the quality.,2026-06-19
289,39863,5,"Exactly as described, will buy again.",2026-09-06
290,13892,5,"Really happy with this purchase, great quality!",2026-07-13
291,15077,4,"Nice product, fast delivery too.",2026-05-19
292,43929,4,"Loved it, fits perfectly.",2025-06-25
293,74827,5,"Nice product, fast delivery too.",2024-11-18
294,45878,5,"Really happy with this purchase, great quality!",2026-09-04
295,21481,2,Not satisfied with the quality.,2026-09-07
296,85630,1,Product did not match the description.,2026-08-21
297,29460,4,Good value for money.,2025-09-04
298,81208,5,"Really happy with this purchase, great quality!",2026-01-27
299,2449,3,"It's okay, expected a bit better.",2025-11-18
300,27716,2,Product did not match the description.,2026-05-25
301,4471,4,"Exactly as described, will buy again.",2026-02-02
302,88662,5,"Exactly as described, will buy again.",2024-12-23
303,82562,4,"Exactly as described, will buy again.",2025-07-21
304,74885,3,"Average quality, does the job.",2026-01-03
305,95557,5,"Nice product, fast delivery too.",2026-02-20
306,11598,4,"Exactly as described, will buy again.",2026-08-31
307,66897,4,"Nice product, fast delivery too.",2026-02-16
308,68416,4,,2026-09-09
309,32374,4,"Nice product, fast delivery too.",2026-07-02
310,79338,3,"It's okay, expected a bit better.",2025-01-09
311,82387,3,Decent product for the price.,2025-09-27
312,363,5,Good value for money.,2025-01-30
313,47072,4,"Loved it, fits perfectly.",2026-07-02
314,84566,4,"Really happy with this purchase, great quality!",2025-11-18
315,64034,3,Decent product for the price.,2024-07-27
316,60802,4,"Loved it, fits perfectly.",2026-08-18
317,36249,5,"Loved it, fits perfectly.",2026-04-11
318,9816,5,"Loved it, fits perfectly.",2026-03-22
319,30072,4,"Exactly as described, will buy again.",2026-09-14
320,100071,5,"Nice product, fast delivery too.",2023-12-30
321,98417,4,"Loved it, fits perfectly.",2025-06-15
322,626,3,Decent product for the price.,2026-09-11
323,97743,4,"Loved it, fits perfectly.",2026-06-27
324,49294,4,"Nice product, fast delivery too.",2026-06-06
325,36074,4,Good value for money.,2025-07-08
326,66416,4,Good value for money.,2025-09-16
327,70688,4,"Exactly as described, will buy again.",2025-11-19
328,86993,4,"Really happy with this purchase, great quality!",2025-09-18
329,41275,3,Decent product for the price.,2025-10-24
330,67638,2,"Disappointed, expected better.",2026-08-28
331,23056,4,"Nice product, fast delivery too.",2026-07-19
332,28534,4,"Nice product, fast delivery too.",2026-08-31
333,49708,1,"Disappointed, expected better.",2026-06-22
334,53237,5,"Exactly as described, will buy again.",2026-07-17
335,6421,5,Good value for money.,2025-11-24
336,13518,4,Good value for money.,2026-04-15
337,16529,5,"Nice product, fast delivery too.",2026-01-15
338,78032,2,Not satisfied with the quality.,2026-01-02
339,74621,3,Decent product for the price.,2025-10-25
340,89799,1,Product did not match the description.,2025-06-30
341,14250,4,"Nice product, fast delivery too.",2026-06-22
342,81285,3,"Average quality, does the job.",2026-04-01
343,94129,3,Decent product for the price.,2025-12-19
344,71785,4,Good value for money.,2025-10-16
345,75600,3,"It's okay, expected a bit better.",2024-06-07
346,58765,5,"Loved it, fits perfectly.",2025-12-24
347,78445,2,Not satisfied with the quality.,2026-08-03
348,81646,4,"Really happy with this purchase, great quality!",2025-04-03
349,40365,3,Decent product for the price.,2026-08-31
350,95548,3,"Average quality, does the job.",2025-06-26
351,42808,3,"Average quality, does the job.",2026-06-26
352,13035,3,"Average quality, does the job.",2026-01-09
353,36578,5,"Really happy with this purchase, great quality!",2024-09-26
354,56062,1,Not satisfied with the quality.,2025-01-02
355,92902,5,"Loved it, fits perfectly.",2026-08-29
356,35922,4,"Exactly as described, will buy again.",2025-10-21
357,3478,4,"Nice product, fast delivery too.",2026-07-08
358,64655,2,"Disappointed, expected better.",2026-03-13
359,91743,5,"Loved it, fits perfectly.",2026-06-08
360,53169,2,Product did not match the description.,2026-04-06
361,46460,5,"Nice product, fast delivery too.",2025-11-22
362,91907,4,"Nice product, fast delivery too.",2025-07-01
363,92602,1,Not satisfied with the quality.,2025-07-06
364,83562,3,"It's okay, expected a bit better.",2025-06-03
365,87674,4,"Really happy with this purchase, great quality!",2026-07-03
366,15766,3,Decent product for the price.,2026-09-10
367,75106,3,Decent product for the price.,2026-08-12
368,11385,3,Decent product for the price.,2024-10-21
369,35239,3,"It's okay, expected a bit better.",2026-06-01
370,30423,3,Decent product for the price.,2026-09-08
371,58662,5,"Exactly as described, will buy again.",2026-02-18
372,13224,5,Good value for money.,2026-07-12
373,20598,4,"Nice product, fast delivery too.",2025-01-02
374,75073,2,Not satisfied with the quality.,2026-02-07
375,36842,3,"It's okay, expected a bit better.",2026-04-08
376,38042,4,"Exactly as described, will buy again.",2026-08-11
377,6726,5,"Loved it, fits perfectly.",2026-09-14
378,93373,2,Product did not match the description.,2026-04-11
379,44744,4,"Loved it, fits perfectly.",2026-08-23
380,31362,4,,2025-12-15
381,12434,3,"It's okay, expected a bit better.",2026-05-30
382,82893,3,Decent product for the price.,2025-09-10
383,70217,5,"Loved it, fits perfectly.",2026-05-13
384,35519,1,"Disappointed, expected better.",2026-09-09
385,66635,3,"It's okay, expected a bit better.",2025-06-10
386,2965,5,"Loved it, fits perfectly.",2025-10-21
387,55941,5,"Really happy with this purchase, great quality!",2026-06-06
388,33383,4,"Really happy with this purchase, great quality!",2025-08-29
389,19238,4,Good value for money.,2023-06-29
390,84724,4,"Nice product, fast delivery too.",2026-01-03
391,2448,3,"Average quality, does the job.",2025-11-04
392,31234,5,"Nice product, fast delivery too.",2026-08-28
393,16173,2,Not satisfied with the quality.,2026-02-08
394,63346,4,Good value for money.,2026-01-28
395,45991,3,Decent product for the price.,2026-03-30
396,25907,5,Good value for money.,2025-03-28
397,92410,4,"Exactly as described, will buy again.",2025-11-12
398,48766,5,"Loved it, fits perfectly.",2026-05-02
399,17319,5,Good value for money.,2026-01-27
400,27709,5,"Exactly as described, will buy again.",2026-08-24
401,50085,3,"Average quality, does the job.",2026-09-10
402,36692,4,,2026-03-29
403,32242,4,,2025-08-28
404,63308,4,"Really happy with this purchase, great quality!",2025-09-15
405,20901,5,"Nice product, fast delivery too.",2026-02-12
406,11599,4,"Nice product, fast delivery too.",2026-09-13
407,76345,4,"Exactly as described, will buy again.",2024-10-13
408,45565,2,"Disappointed, expected better.",2025-07-11
409,61040,3,"Average quality, does the job.",2026-08-10
410,1523,3,"Average quality, does the job.",2026-06-18
411,50734,3,Decent product for the price.,2026-08-29
412,79650,5,Good value for money.,2026-09-08
413,100051,4,"Loved it, fits perfectly.",2026-09-03
414,37566,5,"Nice product, fast delivery too.",2025-09-02
415,83671,3,Decent product for the price.,2026-05-15
416,28821,4,"Really happy with this purchase, great quality!",2025-03-21
417,86489,2,"Disappointed, expected better.",2026-03-20
418,50607,5,Good value for money.,2025-09-20
419,35445,1,"Disappointed, expected better.",2025-10-02
420,98577,2,"Disappointed, expected better.",2024-11-15
421,92425,5,Good value for money.,2026-02-23
422,71423,1,,2025-03-29
423,22213,3,"Average quality, does the job.",2024-11-29
424,67367,5,"Loved it, fits perfectly.",2026-08-22
425,24593,5,"Loved it, fits perfectly.",2026-02-04
426,71115,4,"Really happy with this purchase, great quality!",2025-11-30
427,34764,3,"It's okay, expected a bit better.",2025-10-28
428,97606,4,"Loved it, fits perfectly.",2026-05-07
429,4929,5,"Nice product, fast delivery too.",2025-02-06
430,79024,4,"Really happy with this purchase, great quality!",2025-02-15
431,38203,5,"Loved it, fits perfectly.",2025-06-23
432,74504,5,"Exactly as described, will buy again.",2025-03-26
433,35327,4,,2026-06-20
434,15398,5,Good value for money.,2026-08-22
435,33095,5,"Nice product, fast delivery too.",2026-08-10
436,76251,4,"Exactly as described, will buy again.",2025-06-30
437,33235,4,"Nice product, fast delivery too.",2025-10-25
438,34217,5,"Loved it, fits perfectly.",2025-09-01
439,64312,5,"Loved it, fits perfectly.",2025-08-06
440,20276,3,"Average quality, does the job.",2026-07-06
441,57997,5,,2026-04-08
442,90335,5,"Nice product, fast delivery too.",2024-09-27
443,51572,5,Good value for money.,2026-09-10
444,51274,4,Good value for money.,2026-07-07
445,70981,5,"Nice product, fast delivery too.",2026-05-20
446,63366,2,"Disappointed, expected better.",2026-06-03
447,52956,5,"Loved it, fits perfectly.",2026-07-31
448,38307,4,"Really happy with this purchase, great quality!",2025-08-18
449,74356,4,Good value for money.,2026-04-03
450,91735,5,,2026-04-15
451,84084,3,"It's okay, expected a bit better.",2024-12-18
452,83963,2,Product did not match the description.,2026-05-22
453,47300,4,"Exactly as described, will buy again.",2025-07-26
454,61104,5,"Nice product, fast delivery too.",2026-03-17
455,47437,5,"Exactly as described, will buy again.",2026-05-12
456,21500,4,Good value for money.,2026-07-23
457,38721,5,"Exactly as described, will buy again.",2025-07-04
458,58821,2,Not satisfied with the quality.,2025-07-24
459,100180,3,Decent product for the price.,2025-09-22
460,26257,5,"Nice product, fast delivery too.",2024-09-15
461,23986,5,"Nice product, fast delivery too.",2025-11-14
462,48325,5,Good value for money.,2025-12-13
463,52476,5,"Exactly as described, will buy again.",2026-06-21
464,60764,5,"Really happy with this purchase, great quality!",2024-12-16
465,89252,2,Product did not match the description.,2026-07-22
466,84824,2,Not satisfied with the quality.,2026-09-11
467,42427,5,"Really happy with this purchase, great quality!",2026-08-28
468,25206,3,"Average quality, does the job.",2025-11-14
469,79760,5,"Exactly as described, will buy again.",2024-07-11
470,6517,3,Decent product for the price.,2026-06-16
471,17317,5,"Nice product, fast delivery too.",2026-02-05
472,38686,4,Good value for money.,2025-06-18
473,80004,4,"Nice product, fast delivery too.",2026-07-13
474,63311,5,Good value for money.,2026-02-06
475,58408,3,"It's okay, expected a bit better.",2026-08-24
476,7611,4,"Really happy with this purchase, great quality!",2026-01-21
477,42224,5,"Nice product, fast delivery too.",2025-06-17
478,82102,5,"Really happy with this purchase, great quality!",2026-05-06
479,15625,3,Decent product for the price.,2025-01-08
480,19855,4,"Really happy with this purchase, great quality!",2025-01-23
481,4176,3,Decent product for the price.,2026-09-14
482,613,5,"Loved it, fits perfectly.",2026-02-07
483,17382,5,"Loved it, fits perfectly.",2025-07-02
484,79099,5,Good value for money.,2025-09-04
485,28181,5,"Really happy with this purchase, great quality!",2024-10-18
486,15136,5,"Nice product, fast delivery too.",2025-01-21
487,85223,4,"Really happy with this purchase, great quality!",2024-04-15
488,11006,5,"Loved it, fits perfectly.",2024-10-01
489,76998,5,"Really happy with this purchase, great quality!",2025-01-16
490,86656,5,"Exactly as described, will buy again.",2026-09-04
491,25498,5,"Really happy with this purchase, great quality!",2026-08-20
492,52993,4,Good value for money.,2026-06-03
493,289,5,"Really happy with this purchase, great quality!",2025-10-08
494,61358,1,Not satisfied with the quality.,2025-03-25
495,23528,5,"Exactly as described, will buy again.",2026-09-01
496,43312,4,"Loved it, fits perfectly.",2026-01-14
497,73222,5,Good value for money.,2026-09-01
498,62588,3,Decent product for the price.,2025-07-06
499,98036,3,"It's okay, expected a bit better.",2026-09-04
500,97861,3,"It's okay, expected a bit better.",2025-06-23
501,35893,3,Decent product for the price.,2024-09-02
502,45174,5,"Nice product, fast delivery too.",2026-03-24
503,64685,2,Product did not match the description.,2025-03-18
504,69412,4,Good value for money.,2025-06-04
505,88583,2,"Disappointed, expected better.",2026-09-01
506,16434,1,"Disappointed, expected better.",2026-06-04
507,14665,1,Not satisfied with the quality.,2024-12-14
508,40018,3,"It's okay, expected a bit better.",2026-08-09
509,80150,4,"Nice product, fast delivery too.",2025-08-20
510,81979,4,"Nice product, fast delivery too.",2026-06-26
511,46171,5,"Exactly as described, will buy again.",2026-06-26
512,85389,5,"Nice product, fast delivery too.",2025-07-18
513,86576,5,"Nice product, fast delivery too.",2024-09-18
514,45065,5,"Nice product, fast delivery too.",2026-06-30
515,22550,5,"Loved it, fits perfectly.",2024-06-27
516,98132,3,"It's okay, expected a bit better.",2025-11-22
517,82334,2,Product did not match the description.,2026-01-27
518,7383,3,Decent product for the price.,2024-09-04
519,93137,3,Decent product for the price.,2026-01-18
520,143,5,Good value for money.,2026-04-01
521,95605,4,Good value for money.,2025-06-21
522,41774,5,"Nice product, fast delivery too.",2025-10-22
523,32448,4,"Nice product, fast delivery too.",2026-07-14
524,70213,4,"Really happy with this purchase, great quality!",2026-05-30
525,36546,4,"Really happy with this purchase, great quality!",2025-10-20
526,78358,5,"Nice product, fast delivery too.",2026-04-15
527,67716,0,"Nice product, fast delivery too.",2026-08-16
528,59880,3,"Average quality, does the job.",2026-09-09
529,9956,4,"Loved it, fits perfectly.",2026-08-11
530,58268,5,"Loved it, fits perfectly.",2026-01-14
531,55500,2,Not satisfied with the quality.,2024-10-26
532,19707,3,"Average quality, does the job.",2026-08-07
533,1063,4,Good value for money.,2025-06-30
534,13756,5,"Really happy with this purchase, great quality!",2026-03-18
535,45873,3,Decent product for the price.,2026-02-16
536,24995,4,"Nice product, fast delivery too.",2025-12-06
537,13710,3,"Average quality, does the job.",2024-08-17
538,52970,3,"It's okay, expected a bit better.",2026-08-27
539,85550,4,"Loved it, fits perfectly.",2025-11-13
