return_id,order_details_id,return_reason,return_amount,return_status,return_date
45,335,Size issue,669.38,Approved,2025-03-17
46,337,Wrong size,4464.21,Approved,2025-07-24
47,346,Sole damage,3833.9,Approved,2026-05-10
48,348,Not as described,751.5,Approved,2025-07-08
49,383,Wrong size,2419.78,Rejected,2024-03-14
50,385,Sole damage,2972.8,Approved,2024-03-19
51,386,Uncomfortable fit,1916.95,Approved,2024-03-31
52,394,Sole damage,2743.56,Approved,2025-01-08
53,395,Changed mind,1564.88,Pending,2025-09-05
54,396,Color mismatch,1477.04,Rejected,2025-09-05
55,398,Product damaged,1328.9,Approved,2026-02-12
56,401,Wrong size,3346.68,Approved,2026-05-06
57,416,Changed mind,264.09,Approved,2026-07-22
58,429,Fabric quality poor,6042.66,Rejected,2025-06-01
59,439,Changed mind,772.4,Approved,2025-11-11
60,453,Changed mind,776.2,Rejected,2026-05-31
61,457,Shade mismatch,664.45,Approved,2026-07-16
62,493,Changed mind,804.47,Approved,2026-03-15
63,494,Changed mind,776.2,Approved,2026-03-11
64,506,Sole damage,2575.28,Approved,2026-08-31
65,544,Shade mismatch,823.09,Approved,2025-09-02
66,552,Color mismatch,2972.8,Approved,2025-09-04
67,560,Changed mind,386.2,Approved,2026-07-26
68,575,Wrong size,4348.88,Approved,2026-01-20
69,579,Changed mind,205.29,Approved,2026-01-30
70,594,Uncomfortable fit,2231.12,Approved,2024-06-08
71,595,Size too large,969.8,Approved,2024-09-02
72,596,Changed mind,3021.33,Approved,2024-09-09
73,601,Wrong size,2972.8,Rejected,2025-08-27
74,610,Size too large,1477.04,Approved,2025-11-29
75,623,Not as described,1051.82,Approved,2026/03/28
76,646,Allergic reaction,823.09,Approved,2023-08-13
77,647,Product damaged,550.26,Approved,2023-08-07
78,653,Changed mind,2972.8,Approved,2024-01-22
79,659,Changed mind,2174.44,Approved,2024-02-29
80,697,Changed mind,205.29,Approved,2025-11-01
81,701,Changed mind,2489.4,Approved,2026-01-06
82,702,Changed mind,2955.86,Approved,13 Jan 2026
83,719,Uncomfortable fit,4348.88,Approved,2025-12-06
84,743,Size issue,1338.76,Approved,2024-05-28
85,746,Uncomfortable fit,1916.95,Rejected,2024-06-07
86,793,Sole damage,1916.95,Approved,2026-01-23
87,801,Changed mind,1564.88,Pending,2024-04-15
88,803,Wrong size,1287.64,Rejected,2024-04-21
89,806,Allergic reaction,1293.67,Pending,2024-06-24
90,811,Size issue,716.49,Rejected,2024-09-30
91,824,Uncomfortable fit,1287.64,Approved,2025-01-25
92,826,Color mismatch,1477.04,Approved,2025-01-31
93,842,Allergic reaction,825.39,Approved,2025-11-05
94,843,Changed mind,2419.78,Approved,2025-12-19
95,848,Size too large,1985.38,Rejected,2025-12-23
96,864,Sole damage,5487.12,Rejected,2026-04-06
97,869,Color mismatch,1834.35,Approved,2026-05-15
98,871,Sole damage,2575.28,Pending,2026-05-16
99,874,Not as described,1608.94,Approved,2026-06-24
100,886,Fabric quality poor,969.8,Approved,2025-09-10
101,892,Sole damage,2972.8,Approved,2025-05-15
102,896,Changed mind,1564.88,Approved,2026-08-27
103,916,size too small,6811.47,Approved,2026-08-29
104,917,Size too large,893.75,Approved,2026-09-05
105,919,Size too small,2955.86,Approved,2026-09-03
106,928,SHADE MISMATCH,2469.27,Approved,2026-09-03
107,983,Not as described,389.69,Approved,2025-07-03
108,992,Changed mind,654.36,Approved,2026-09-01
109,994,Size too small,2761.13,Approved,2023-05-07
110,1032,Fabric quality poor,1844.84,Approved,2026-05-24
111,1035,Shade mismatch,275.13,Approved,2026-06-03
112,1044,Uncomfortable fit,4839.56,Approved,2026-06-05
113,1057,Color mismatch,2743.56,Approved,2024-09-20
114,1093,Sole damage,1287.64,Pending,2026-06-03
115,1094,Wrong size,2174.44,Approved,2026-05-24
116,1096,Not as described,301.02,Approved,2026-07-21
117,1148,Sole damage,2575.28,Approved,2025-09-05
118,1150,Changed mind,275.13,Approved,2025-08-29
119,1156,Shade mismatch,1692.3,Approved,2025-10-11
120,1159,Wrong size,1916.95,Approved,2025-10-26
121,1163,Color mismatch,6264.66,Approved,2025-11-01
122,1164,Sole damage,7259.34,Approved,2025-11-04
123,1166,Fabric quality poor,3021.33,Approved,2025-12-31
124,1167,Size too small,2489.4,Approved,2025-12-20
125,1170,Changed mind,1087.25,Pending,2025-12-22
126,1177,Sole damage,8230.68,Approved,2026-01-23
127,1207,Wrong size,5503.05,Approved,2026-09-04
128,1261,Not as described,776.2,Approved,2025-12-28
129,1271,Wrong size,2743.56,Approved,2026-04-03
130,1275,Changed mind,844.84,Approved,2026-06-28
131,1280,Uncomfortable fit,1916.95,Approved,2026-09-02
132,1319,Allergic reaction,562.47,Approved,2025-10-30
133,1324,Fabric quality poor,2761.13,Approved,2025-10-27
134,1339,Size too small,2761.13,Approved,2024-07-11
135,1343,Uncomfortable fit,4176.44,Approved,2024-11-23
136,1353,Color mismatch,5956.14,Approved,03/30/2025
137,1356,Changed mind,922.42,Approved,2025-03-31
138,1362,Changed mind,3881.01,Approved,2025-06-20
139,1365,Changed mind,1916.95,Approved,2025-07-26
140,1392,Changed mind,2088.22,Approved,2026-05-13
141,1395,Fabric quality poor,1477.04,Approved,2025-10-15
142,1401,Not as described,669.38,Approved,2025-10-21
143,1403,Uncomfortable fit,4464.21,Pending,2025-11-06
144,1404,Changed mind,562.47,Approved,2025-11-07
145,1429,Size issue,1353.12,Approved,2026-02-19
146,1431,SHADE MISMATCH,434.65,Approved,2026-03-11
147,1432,Not as described,716.49,Approved,2026-03-19
148,1433,Not as described,2029.68,Pending,2026-03-08
149,1436,Changed mind,1488.07,Approved,2026-03-23
150,1437,Sole damage,2231.12,Approved,2026-03-17
151,1438,Fabric quality poor,893.75,Approved,2026-03-21
152,1441,Product damaged,434.65,Approved,2026-04-03
153,1444,Changed mind,782.44,Approved,2023-08-22
154,1445,Changed mind,2270.49,Approved,2023-09-27
155,1448,Product damaged,1087.25,Approved,2023-11-11
156,1452,Uncomfortable fit,5750.85,Approved,2024-01-03
157,1457,Allergic reaction,1293.67,Approved,2024-02-28
158,1460,Size too small,1477.93,Approved,2024-03-22
159,1473,Shade mismatch,434.65,Approved,2025-02-07
160,1480,Color mismatch,2972.8,Approved,2025-11-06
161,1482,Uncomfortable fit,1115.56,Approved,2025-11-30
162,1484,Changed mind,1084.05,Approved,2025-12-09
163,1486,Sole damage,1916.95,Approved,2025-12-21
164,1496,Shade mismatch,1124.94,Approved,2025-10-11
165,1514,Uncomfortable fit,2575.28,Rejected,2026-05-23
166,1518,Sole damage,2088.22,Approved,2026-06-09
167,1521,Size too small,1477.04,Rejected,2026-06-06
168,1541,Wrong size,2743.56,Approved,2026-07-16
169,1559,Sole damage,1916.95,Approved,2026-08-29
170,1563,Product damaged,1646.18,Approved,2026-08-29
171,1566,Size issue,716.49,Approved,2026-09-11
172,1576,Uncomfortable fit,4839.56,Approved,2024-10-21
173,1582,Wrong size,5487.12,Approved,2024-11-15
174,1596,Allergic reaction,823.09,Approved,2025-01-18
175,1603,Allergic reaction,434.65,Approved,2025-02-06
176,1607,Color mismatch,2743.56,Rejected,2025-03-09
177,1610,Wrong size,2534.52,Pending,2025-03-22
178,1616,Product damaged,562.47,Approved,2025-03-27
179,1628,Allergic reaction,1293.67,Approved,2025-11-06
180,1629,Size too large,969.8,Approved,2025-11-15
181,1632,Color mismatch,1844.84,Approved,2026-01-04
182,1637,Color mismatch,2743.56,Approved,2026-02-20
183,1719,Wrong size,1916.95,Approved,2024-09-07
184,1722,Size too small,3970.76,Pending,2024-09-19
185,1725,PRODUCT DAMAGED,1293.67,Pending,2024-10-25
186,1729,Product damaged,434.65,Approved,2025-06-14
187,1730,wrong size,1115.56,Approved,2025-11-30
188,1731,Uncomfortable fit,2972.8,Approved,2025-12-03
189,1747,Not as described,525.91,Pending,2025-11-29
190,1759,Wrong size,5945.6,Approved,2025-11-24
191,1760,Product damaged,1293.67,Approved,2025-11-25
192,1764,Not as described,525.91,Approved,2025-11-28
193,1781,Changed mind,1985.38,Rejected,2026-01-26
194,1785,Allergic reaction,1087.25,Approved,2026-02-05
195,1790,Allergic reaction,1087.25,Pending,2024-02-02
196,1825,Size too large,1787.5,Approved,2025-10-05
197,1830,Fabric quality poor,4978.8,Approved,2026-03-25
198,1833,Size issue,1308.72,Approved,2026-06-24
199,1843,Size too large,782.44,Approved,2026-09-15
200,1856,Changed mind,1353.12,Approved,2026-09-13
201,1893,Not as described,301.02,Approved,2026-07-26
202,1896,Product damaged,562.47,Approved,2026-07-27
203,1913,Changed mind,2270.49,Approved,2026-08-28
204,1921,Changed mind,525.91,Pending,2026-08-31
205,1955,Changed mind,1287.64,Pending,2026-07-30
206,1959,CHANGED MIND,776.2,Approved,2026-08-08
207,1982,Shade mismatch,562.47,Approved,2026-08-13
208,1984,Fabric quality poor,2761.13,Approved,2026-08-19
209,1995,Size issue,654.38,Approved,2026-08-30
210,2005,Product damaged,1240.53,Approved,2026-09-02
211,2008,Changed mind,1124.94,Approved,2026-09-04
212,2025,Allergic reaction,664.45,Approved,2025-12-18
213,2026,Allergic reaction,434.65,Approved,2025-12-27
214,2030,Color mismatch,1287.64,Approved,2025-12-17
215,2038,Sole damage,1287.64,Pending,2026-01-08
216,2097,Not as described,716.49,Approved,2026-05-18
217,2101,Sole damage,1287.64,Approved,2026-06-25
218,2110,Allergic reaction,1087.25,Approved,2026-08-01
219,2127,Changed mind,782.44,Pending,2026-05-04
220,2131,Uncomfortable fit,4839.56,Approved,2026-05-01
221,2136,Color mismatch,3021.33,Approved,2026-05-05
222,2142,Changed mind,922.42,Approved,2026-05-06
223,2145,Changed mind,1240.53,Approved,2026-06-07
224,2148,Shade mismatch,846.15,Approved,2026-06-15
225,2151,Not as described,243.4,Pending,16-06-2026
226,2156,Sole damage,1115.56,Approved,2026-06-21
227,2159,Changed mind,1477.04,Approved,2026-06-27
228,2162,Size issue,776.2,Approved,2026-07-17
229,2180,Size too large,4433.79,Approved,2026-09-06
230,2187,Size too large,1985.38,Approved,2026-02-21
231,2188,Shade mismatch,825.39,Approved,2023-07-04
232,2210,Size too large,2347.32,Approved,2024-12-24
233,2222,Uncomfortable fit,3668.7,Rejected,2025-05-08
234,2249,Product damaged,275.13,Approved,2026-04-05
235,2265,Color mismatch,1477.93,Approved,2025-01-10
236,2269,Color mismatch,5522.26,Pending,2025-03-24
237,2284,Size too small,782.44,Approved,2026-07-03
238,2292,Size issue,375.75,Approved,2025-05-14
239,2293,Size issue,804.47,Approved,2025-05-13
240,2302,Size too small,2761.13,Approved,2025-08-31
241,2312,Product damaged,562.47,Approved,2025-10-31
242,2323,Color mismatch,2972.8,Approved,2025-12-29
243,2332,Sole damage,2972.8,Approved,2026-05-16
244,2337,Color mismatch,7259.34,Approved,2026-06-20
245,2350,Changed mind,969.8,Approved,2026-08-16
246,2357,Fabric quality poor,2909.4,Approved,2026-08-18
247,2386,Changed mind,4348.88,Approved,2026-09-07
248,2387,Wrong size,2419.78,Approved,2026-09-08
249,2431,Shade mismatch,893.22,Approved,2024-10-08
250,2439,Color mismatch,2174.44,Pending,2025-06-18
251,2453,Size too large,2489.4,Pending,2026-02-02
252,2456,Changed mind,434.65,Approved,2026-06-28
253,2463,Changed mind,243.4,Approved,2023-07-16
254,2464,Wrong size,844.84,Approved,2023-10-30
255,2476,Changed mind,782.44,Rejected,2024-04-28
256,2478,Uncomfortable fit,2174.44,Rejected,2024-09-19
257,2484,Fabric quality poor,922.42,Rejected,2025-04-08
258,2489,Changed mind,893.75,Approved,2025-08-18
259,2524,Changed mind,1488.07,Approved,2026-05-16
260,2525,Uncomfortable fit,844.84,Approved,2026-05-14
261,2531,Changed mind,823.09,Approved,2026-05-25
262,2533,Size issue,716.49,Approved,2025-11-03
263,2544,COLOR MISMATCH,3021.33,Approved,2025-08-21
264,2557,Changed mind,4978.8,Approved,2026-01-31
265,2559,Not as described,377.09,Approved,2026-02-13
266,2568,Product damaged,1293.67,Approved,2026-05-23
267,2570,Shade mismatch,893.22,Approved,2026-06-14
268,2581,Uncomfortable fit,2088.22,Approved,2026-08-28
269,2582,Product damaged,389.69,Approved,2026-08-26
270,2604,Uncomfortable fit,1916.95,Pending,2026-08-26
271,2608,Size too small,8283.39,Approved,2026-08-30
272,2614,Fabric quality poor,1787.5,Rejected,2026-09-03
273,2615,Size too small,2270.49,Pending,2026-09-07
274,2627,Color mismatch,2270.49,Approved,2025-12-30
275,2628,Changed mind,722.7,Pending,2026-02-13
276,2653,Not as described,776.2,Approved,2025-11-11
277,2663,Not as described,776.2,Approved,2026-08-30
278,2675,Size issue,988.73,Approved,2025-10-28
279,2683,Product damaged,2469.27,Pending,2026-03-24
280,2692,Shade mismatch,893.22,Approved,2023-10-27
281,2695,Product damaged,893.22,Approved,2024-02-17
282,2721,Uncomfortable fit,1916.95,Approved,2025-08-20
283,2745,Changed mind,1552.4,Approved,2026-05-07
284,2758,Allergic reaction,2086.92,Approved,2026-05-29
285,2759,Allergic reaction,893.22,Approved,2026-05-31
286,2774,Sole damage,2088.22,Approved,2026-07-25
287,2779,Fabric quality poor,6811.47,Approved,2026-08-29
288,2783,Size too small,2489.4,Pending,2026-08-31
289,2798,Not as described,716.49,Approved,2026-03-12
290,2870,Allergic reaction,562.47,Approved,2026-02-16
291,2889,Size too large,1939.6,Approved,2023-11-29
292,2901,Allergic reaction,562.47,Approved,2025-12-02
293,2904,Sole damage,4839.56,Approved,2026-07-27
294,2913,Allergic reaction,2587.34,Approved,2026-07-22
295,2936,Uncomfortable fit,1287.64,Rejected,2026-06-22
296,2937,Size issue,654.38,Approved,2026-06-19
297,2952,Wrong size,4176.44,Approved,2026-08-29
298,2964,Not as described,525.91,Approved,2025-08-19
299,2978,Changed mind,1115.56,Approved,2026-06-08
300,2979,Wrong size,2972.8,Pending,2026-06-06
301,2980,Product damaged,1087.25,Approved,2026-06-21
302,2985,Changed mind,5487.12,Approved,2026-09-05
303,2997,shade mismatch,823.09,Approved,2025-11-12
304,3028,Shade mismatch,823.09,Pending,2026-03-26
305,3031,Product damaged,1391.28,Approved,2026-03-20
306,3040,Changed mind,2174.44,Pending,2026-03-28
307,3049,Sole damage,2972.8,Pending,2026-03-25
308,3068,Uncomfortable fit,4348.88,Approved,2026-02-23
309,3072,Product damaged,275.13,Pending,2026-03-23
310,3091,Not as described,145.44,Approved,2026-07-08
311,3109,Size issue,377.09,Approved,2025-12-09
312,3122,Changed mind,2270.49,Approved,2025-07-05
313,3134,Changed mind,844.84,Rejected,2026-07-08
314,3157,Color mismatch,2972.8,Approved,2025-10-06
315,3160,Sole damage,1115.56,Approved,2025-10-23
316,3173,Product damaged,205.29,Approved,2025-12-02
317,3175,Fabric quality poor,2761.13,Approved,2026-01-02
318,3181,Sole damage,2972.8,Approved,2026-01-08
319,3192,Wrong size,2575.28,Approved,2026-06-19
320,3195,Product damaged,243.4,Rejected,2026-08-19
321,3206,Changed mind,922.42,Approved,2026-09-11
322,3241,Not as described,525.91,Approved,2026-02-22
323,3261,Color mismatch,2270.49,Approved,2026-01-22
324,3263,Size too small,2347.32,Approved,2026-01-21
325,3269,Changed mind,467.16,Rejected,2026-04-04
326,3282,Uncomfortable fit,4348.88,Approved,2026-08-22
327,3286,Size too large,1477.04,Approved,2026-09-01
328,3297,Wrong size,2088.22,Approved,2026-02-15
329,3299,Color mismatch,2743.56,Approved,2026-03-15
330,3308,Size too large,4978.8,Approved,2026-07-08
331,3315,Not as described,1051.82,Pending,2026-01-08
332,3323,Changed mind,2489.4,Approved,2026-07-09
333,3327,Fabric quality poor,969.8,Pending,2025-08-07
334,3358,Product damaged,3261.75,Rejected,2025-11-09
335,3365,Changed mind,1338.76,Approved,2025-12-30
336,3377,Color mismatch,1985.38,Approved,2026-06-29
337,3382,Wrong size,3833.9,Approved,2026-07-09
338,3401,Size too small,782.44,Approved,2026-01-26
339,3432,Fabric quality poor,1477.93,Approved,2025-11-14
340,3452,Product damaged,1240.53,Approved,2026-01-10
341,3465,Changed mind,893.75,Approved,2026-03-26
342,3469,Size too small,969.8,Pending,2026-03-18
343,3481,Changed mind,1977.46,Approved,2026-07-09
344,3486,Fabric quality poor,1985.38,Approved,2026-08-14
345,3499,Changed mind,2489.4,Approved,2026-08-30
346,3501,Sole damage,2976.14,Rejected,2026/09/04
347,3503,Uncomfortable fit,1834.35,Approved,2026-08-31
348,3523,Changed mind,2909.4,Approved,2024-08-30
349,3524,color mismatch,3021.33,Approved,2024-09-12
350,3539,Size too large,782.44,Rejected,2026-01-24
351,3547,Color mismatch,1488.07,Approved,2026-03-29
352,3548,Shade mismatch,1087.25,Approved,2026-06-21
353,3563,Wrong size,1287.64,Approved,2025-12-30
354,3571,CHANGED MIND,2088.22,Pending,2025-01-11
355,3575,Color mismatch,1985.38,Rejected,2025-01-18
356,3580,Size issue,754.18,Rejected,2025-12-12
357,3598,Uncomfortable fit,1115.56,Approved,2025-01-07
358,3613,Not as described,394.6,Approved,2025-06-20
359,3614,Size too large,2954.08,Approved,2025-06-27
360,3626,Uncomfortable fit,1916.95,Approved,2025-09-07
361,3634,Changed mind,1488.07,Approved,2024-01-11
362,3639,Uncomfortable fit,844.84,Approved,2024-03-26
363,3648,Changed mind,1916.95,Approved,2024-08-06
364,3662,Changed mind,654.38,Approved,2025-01-11
365,3672,Changed mind,1477.04,Approved,2025-04-10
366,3687,Changed mind,1985.38,Pending,2026-02-01
367,3692,Product damaged,361.35,Approved,2026-03-15
368,3695,Fabric quality poor,1985.38,Approved,2026-03-22
369,3716,NOT AS DESCRIBED,716.49,Rejected,2025-12-23
370,3757,Wrong size,1287.64,Approved,2026-02-18
371,3759,Uncomfortable fit,1916.95,Approved,2026-02-17
372,3763,Uncomfortable fit,2972.8,Approved,2026-03-24
373,3764,Sole damage,3833.9,Approved,04/01/2026
374,3771,Color mismatch,2761.13,Approved,2026-03-25
375,3774,Product damaged,893.22,Approved,2026-04-21
376,3780,Size too large,1985.38,Approved,2026-07-08
377,3781,Color mismatch,4978.8,Approved,2026-07-09
378,3784,Sole damage,3833.9,Approved,2026-08-07
379,3806,Changed mind,1308.76,Rejected,06/23/2024
380,3807,Not as described,804.47,Approved,2024-06-28
381,3809,Changed mind,2489.4,Approved,2024-08-17
382,3821,Sole damage,2972.8,Approved,2024-12-01
383,3822,Color mismatch,922.42,Approved,2024-12-10
384,3829,Not as described,716.49,Pending,2025-04-10
385,3838,Changed mind,1308.76,Rejected,2025-06-30
386,3854,Fabric quality poor,2761.13,Approved,2026-07-08
387,3855,Size too small,2681.25,Approved,2026-09-04
388,3861,Changed mind,804.47,Approved,2026-09-07
389,3863,Changed mind,1308.72,Approved,2026-09-04
390,3878,Changed mind,6042.66,Approved,2025-03-03
391,3884,Size too small,1985.38,Approved,2025-09-27
392,3904,Changed mind,389.69,Approved,2025-12-24
393,3909,Changed mind,2088.22,Approved,2026-01-20
394,3916,Sole damage,1488.07,Approved,2026-02-13
395,3933,Sole damage,1834.35,Approved,2025-02-01
396,3956,Changed mind,200.78,Approved,2026-06-02
397,3964,Allergic reaction,562.47,Approved,2026-06-25
398,3970,Changed mind,1985.38,Approved,2026-07-04
399,3996,Wrong size,844.84,Rejected,2025-06-12
400,3998,Color mismatch,2088.22,Approved,2025-08-22
401,4011,Wrong size,1287.64,Approved,2026-09-15
402,4036,Changed mind,3970.76,Approved,2026-09-05
403,4037,Fabric quality poor,1477.93,Approved,2026-08-30
404,4041,Color mismatch,893.75,Approved,2026-02-15
405,4052,Wrong size,1115.56,Approved,2026-04-04
406,4055,Changed mind,654.36,Approved,2026-04-28
407,4060,Color mismatch,1834.35,Rejected,2026-06-12
408,4081,Uncomfortable fit,844.84,Approved,2026-09-03
409,4094,Changed mind,2743.56,Approved,2026-09-05
410,4099,Product damaged,1087.25,Approved,2026-01-30
411,4120,Fabric quality poor,922.42,Approved,2026-04-04
412,4122,FABRIC QUALITY POOR,2489.4,Approved,2026-04-22
413,4142,Fabric quality poor,922.42,Approved,2026-06-22
414,4145,Product damaged,1087.25,Pending,2026-06-29
415,4148,Changed mind,869.3,Approved,2026-07-07
416,4172,Color mismatch,782.44,Approved,2026-08-27
417,4189,product damaged,1087.25,Approved,2026-07-11
418,4190,Changed mind,264.09,Approved,2026-07-10
419,4198,Changed mind,1477.93,Approved,2026-07-07
420,4203,Color mismatch,2972.8,Approved,2026-07-12
421,4205,Changed mind,4839.56,Pending,2026-07-05
422,4222,Color mismatch,922.42,Approved,2026-07-11
423,4229,Changed mind,654.36,Approved,2026-07-12
424,4236,Allergic reaction,664.45,Approved,2026-07-05
425,4243,Product damaged,2481.06,Approved,2026-07-14
426,4247,Changed mind,1993.35,Approved,2024-01-06
427,4252,Size too large,922.42,Pending,2026-06-26
428,4253,Size too large,969.8,Pending,2026-07-02
429,4256,Sole damage,1834.35,Approved,2026-06-24
430,4260,Size too large,922.42,Approved,2026-06-29
431,4269,Sole damage,1488.07,Approved,2026-07-02
432,4274,Changed mind,1240.53,Approved,2026-07-05
433,4283,Color mismatch,2972.8,Approved,2024-07-27
434,4302,Wrong size,844.84,Approved,2025-02-05
435,4311,Product damaged,562.47,Approved,2026-09-07
436,4320,Product damaged,823.09,Approved,2026-06-14
437,4335,Not as described,375.75,Approved,2025-01-05
438,4343,Fabric quality poor,893.75,Approved,2025-03-02
439,4358,Wrong size,844.84,Approved,2023-11-13
440,4364,Changed mind,2489.4,Rejected,2024-12-20
441,4367,Wrong size,2972.8,Approved,2026-06-09
442,4378,Changed mind,5487.12,Approved,2024-08-31
443,4382,Sole damage,1488.07,Approved,2024-10-22
444,4395,Size too large,3970.76,Approved,2026-05-06
445,4407,Changed mind,1916.95,Approved,2025-10-16
446,4412,Changed mind,1293.67,Approved,2025-12-27
447,4423,changed mind,2954.08,Approved,2026-05-29
448,4425,COLOR MISMATCH,9063.99,Approved,2026-05-29
449,4428,Fabric quality poor,2955.86,Approved,2026-06-09
450,4432,Size too large,1985.38,Approved,2026-07-19
451,4433,Size too small,3021.33,Approved,2026-07-18
452,4453,size too large,1985.38,Rejected,08/29/2026
453,4459,Changed mind,1115.56,Approved,2026-09-05
454,4460,Changed mind,2575.28,Approved,2026-09-03
455,4469,Size too large,8283.39,Approved,2026-09-14
456,4472,Shade mismatch,275.13,Approved,2026-09-15
457,4477,Size issue,776.2,Approved,2026-09-09
458,4483,Color mismatch,2174.44,Approved,2026-09-09
459,4485,Uncomfortable fit,2419.78,Approved,2026-09-13
460,4519,Uncomfortable fit,844.84,Rejected,2024-03-24
461,4540,Changed mind,776.2,Approved,2025-12-18
462,4543,Changed mind,676.56,Pending,26 Jan 2026
463,4550,PRODUCT DAMAGED,386.2,Approved,2026-07-27
464,4566,Wrong size,2972.8,Approved,2026-08-06
465,4569,Color mismatch,1287.64,Approved,2026-08-14
466,4582,Size too small,3970.76,Approved,2026-08-19
467,4586,Changed mind,4433.79,Approved,2026-08-23
468,4600,Product damaged,233.58,Rejected,2026-09-06
469,4606,sole damage,7259.34,Rejected,2026-09-08
470,4609,Fabric quality poor,2761.13,Approved,2026-09-01
471,4610,Size too large,3021.33,Approved,2026-09-11
472,4615,Color mismatch,6042.66,Approved,2026-09-09
473,4618,Changed mind,654.36,Rejected,2026-09-12
474,4636,Color mismatch,2743.56,Approved,2026-02-08
475,4641,Changed mind,5750.85,Pending,2026-02-07
476,4662,Color mismatch,2270.49,Approved,2026-03-29
477,4666,Shade mismatch,1124.94,Approved,2026-04-13
478,4672,Size too large,1939.6,Approved,2026-05-23
479,4674,FABRIC QUALITY POOR,2955.86,Approved,2026-05-22
480,4690,Wrong size,3833.9,Rejected,2026-08-27
481,4702,Sole damage,4348.88,Approved,2026-08-15
482,4714,Changed mind,386.2,Approved,2026-01-11
483,4720,Size issue,669.38,Approved,2024-12-21
484,4721,Fabric quality poor,893.75,Approved,2025-01-31
485,4750,Wrong size,1834.35,Rejected,2026-07-09
486,4771,Wrong size,2419.78,Approved,2025-02-05
487,4791,Fabric quality poor,2270.49,Approved,2026-01-01
488,4793,Size too small,1939.6,Approved,2026-01-11
489,4797,Changed mind,2270.49,Approved,2026-05-08
490,4804,Product damaged,200.78,Approved,2025-05-31
491,4821,Allergic reaction,869.3,Approved,2025-09-19
492,4826,Not as described,301.02,Approved,19 Oct 2025
493,4829,Allergic reaction,275.13,Approved,2025-12-13
494,4847,Color mismatch,2088.22,Approved,2026-03-25
495,4852,Sole damage,1488.07,Pending,2026-04-06
496,4858,Color mismatch,1287.64,Approved,2026-04-29
497,4862,Uncomfortable fit,2231.12,Approved,2026-04-25
498,4874,Color mismatch,2088.22,Approved,2026-08-14
499,4896,Wrong size,2972.8,Approved,2025-02-01
500,4897,Uncomfortable fit,2174.44,Approved,2025-01-30
501,4898,Changed mind,4839.56,Pending,2025-01-28
502,4907,Changed mind,4978.8,Approved,2025-07-01
503,4913,Changed mind,2538.45,Approved,2026-07-18
504,4924,Product damaged,2481.06,Rejected,2024-03-21
505,4947,Wrong size,1916.95,Pending,2025-09-17
506,4950,Changed mind,844.84,Approved,2025-10-21
507,4956,Size too large,2761.13,Approved,2026-01-07
508,4958,Size too small,2489.4,Approved,2025-02-14
509,4963,Changed mind,2270.49,Approved,2025-03-26
510,4964,Color mismatch,969.8,Approved,2025-03-30
511,4972,Color mismatch,1287.64,Rejected,2026-06-23
512,4988,Changed mind,4839.56,Approved,2026-08-25
